     #Energy   up_Fe_dz2   dw_Fe_dz2
   -16.07131     0.00053    -0.00044
   -16.05731     0.00009    -0.00008
   -16.04431     0.00001    -0.00001
   -16.03031     0.00000    -0.00000
   -16.01731     0.00000    -0.00000
   -16.00431     0.00000    -0.00000
   -15.99031     0.00000    -0.00000
   -15.97731     0.00000    -0.00000
   -15.96331     0.00000    -0.00000
   -15.95031     0.00000    -0.00000
   -15.93631     0.00000    -0.00000
   -15.92331     0.00000    -0.00000
   -15.90931     0.00000    -0.00000
   -15.89631     0.00000    -0.00000
   -15.88231     0.00000    -0.00000
   -15.86931     0.00000    -0.00000
   -15.85531     0.00000    -0.00000
   -15.84231     0.00000    -0.00000
   -15.82931     0.00000    -0.00000
   -15.81531     0.00000    -0.00000
   -15.80231     0.00000    -0.00000
   -15.78831     0.00000    -0.00000
   -15.77531     0.00000    -0.00000
   -15.76131     0.00000    -0.00000
   -15.74831     0.00000    -0.00000
   -15.73431     0.00000    -0.00000
   -15.72131     0.00003    -0.00001
   -15.70731     0.00017    -0.00008
   -15.69431     0.00064    -0.00031
   -15.68131     0.00165    -0.00080
   -15.66731     0.00288    -0.00140
   -15.65431     0.00341    -0.00168
   -15.64031     0.00273    -0.00136
   -15.62731     0.00149    -0.00074
   -15.61331     0.00055    -0.00028
   -15.60031     0.00014    -0.00007
   -15.58631     0.00002    -0.00001
   -15.57331     0.00000    -0.00000
   -15.55931     0.00000    -0.00000
   -15.54631     0.00000    -0.00000
   -15.53231     0.00000    -0.00000
   -15.51931     0.00000    -0.00000
   -15.50631     0.00000    -0.00000
   -15.49231     0.00000    -0.00000
   -15.47931     0.00000    -0.00000
   -15.46531     0.00000    -0.00000
   -15.45231     0.00000    -0.00000
   -15.43831     0.00000    -0.00000
   -15.42531     0.00000    -0.00000
   -15.41131     0.00000    -0.00000
   -15.39831     0.00000    -0.00000
   -15.38431     0.00000    -0.00000
   -15.37131     0.00000    -0.00000
   -15.35731     0.00000    -0.00000
   -15.34431     0.00000    -0.00000
   -15.33131     0.00000    -0.00000
   -15.31731     0.00000    -0.00000
   -15.30431     0.00000    -0.00000
   -15.29031     0.00000    -0.00000
   -15.27731     0.00000    -0.00000
   -15.26331     0.00000    -0.00000
   -15.25031     0.00000    -0.00000
   -15.23631     0.00000    -0.00000
   -15.22331     0.00000     0.00000
   -15.20931     0.00000     0.00000
   -15.19631     0.00000     0.00000
   -15.18331     0.00000     0.00000
   -15.16931     0.00000    -0.00000
   -15.15631     0.00000    -0.00000
   -15.14231     0.00000    -0.00000
   -15.12931     0.00000    -0.00000
   -15.11531     0.00000    -0.00000
   -15.10231     0.00000    -0.00000
   -15.08831     0.00000    -0.00000
   -15.07531     0.00000    -0.00000
   -15.06131     0.00000    -0.00000
   -15.04831     0.00000    -0.00000
   -15.03431     0.00000    -0.00000
   -15.02131     0.00000    -0.00000
   -15.00831     0.00000    -0.00000
   -14.99431     0.00000    -0.00000
   -14.98131     0.00000    -0.00000
   -14.96731     0.00000    -0.00000
   -14.95431     0.00000    -0.00000
   -14.94031     0.00000    -0.00000
   -14.92731     0.00000    -0.00000
   -14.91331     0.00000    -0.00000
   -14.90031     0.00000    -0.00000
   -14.88631     0.00000    -0.00000
   -14.87331     0.00000    -0.00000
   -14.85931     0.00000    -0.00000
   -14.84631     0.00000    -0.00000
   -14.83331     0.00000    -0.00000
   -14.81931     0.00000    -0.00000
   -14.80631     0.00000    -0.00000
   -14.79231     0.00000    -0.00000
   -14.77931     0.00000    -0.00000
   -14.76531     0.00000    -0.00000
   -14.75231     0.00000    -0.00000
   -14.73831     0.00000    -0.00000
   -14.72531     0.00000    -0.00000
   -14.71131     0.00000    -0.00000
   -14.69831     0.00000    -0.00000
   -14.68431     0.00000    -0.00000
   -14.67131     0.00000    -0.00000
   -14.65831     0.00000    -0.00000
   -14.64431     0.00000    -0.00000
   -14.63131     0.00000    -0.00000
   -14.61731     0.00000    -0.00000
   -14.60431     0.00000    -0.00000
   -14.59031     0.00000    -0.00000
   -14.57731     0.00000    -0.00000
   -14.56331     0.00000    -0.00000
   -14.55031     0.00000    -0.00000
   -14.53631     0.00000    -0.00000
   -14.52331     0.00000    -0.00000
   -14.51031     0.00000    -0.00000
   -14.49631     0.00000    -0.00000
   -14.48331     0.00000    -0.00000
   -14.46931     0.00000    -0.00000
   -14.45631     0.00000    -0.00000
   -14.44231     0.00000    -0.00000
   -14.42931     0.00000    -0.00000
   -14.41531     0.00000    -0.00000
   -14.40231     0.00000    -0.00000
   -14.38831     0.00000    -0.00000
   -14.37531     0.00000     0.00000
   -14.36131     0.00000    -0.00000
   -14.34831     0.00000    -0.00000
   -14.33531     0.00000    -0.00000
   -14.32131     0.00000    -0.00000
   -14.30831     0.00000    -0.00000
   -14.29431     0.00000    -0.00000
   -14.28131     0.00000    -0.00000
   -14.26731     0.00000    -0.00000
   -14.25431     0.00000    -0.00000
   -14.24031     0.00000    -0.00000
   -14.22731     0.00000    -0.00000
   -14.21331     0.00000    -0.00000
   -14.20031     0.00000    -0.00000
   -14.18631     0.00000    -0.00000
   -14.17331     0.00000    -0.00000
   -14.16031     0.00000    -0.00000
   -14.14631     0.00000    -0.00000
   -14.13331     0.00000    -0.00000
   -14.11931     0.00000    -0.00000
   -14.10631     0.00001    -0.00001
   -14.09231     0.00011    -0.00011
   -14.07931     0.00070    -0.00068
   -14.06531     0.00307    -0.00281
   -14.05231     0.00910    -0.00788
   -14.03831     0.01826    -0.01500
   -14.02531     0.02483    -0.01933
   -14.01131     0.02287    -0.01687
   -13.99831     0.01428    -0.00998
